code	naicsName	shortName
8139	Business, Professional, Labor, Political, and Similar Organizations	Business
8141	Private Households	PrivateHouseholds
9211	Executive, Legislative, and Other General Government Support	Executive
9221	Justice, Public Order, and Safety Activities	Justice
9231	Administration of Human Resource Programs	AdministrationHuman
9241	Administration of Environmental Quality Programs	AdministrationEnvironmental
9251	Administration of Housing Programs, Urban Planning, and Community Development	AdministrationHousing
9261	Administration of Economic Programs	AdministrationEconomic
9271	Space Research and Technology	SpaceResearch
9281	National Security and International Affairs	NationalSecurity
