code	name	shortFileName	action	object
326130	Laminated Plastics Plate, Sheet (except Packaging), and Shape Manufacturing	LaminatedPlastics	Manufacture	Laminated Plastics
326140	Polystyrene Foam Product Manufacturing	PolystyreneFoam	Manufacture	Polystyrene Foam
326150	Urethane and Other Foam Product (except Polystyrene) Manufacturing	Urethane	Manufacture	Urethane
326160	Plastics Bottle Manufacturing	PlasticsBottle	Manufacture	Plastics Bottle
326191	Plastics Plumbing Fixture Manufacturing	PlasticsPlumbing	Manufacture	Plastics Plumbing
326199	All Other Plastics Product Manufacturing	PlasticsProduct	Manufacture	Plastics Product
326211	Tire Manufacturing (except Retreading)	Tire	Manufacture	Tire
326212	Tire Retreading	TireRetreading	Manufacture	Tire Retreading
326220	Rubber and Plastics Hoses and Belting Manufacturing	RubberPlastics	Manufacture	Rubber Plastics
326291	Rubber Product Manufacturing for Mechanical Use	RubberProduct	Manufacture	Rubber Product
326299	All Other Rubber Product Manufacturing	RubberProduct	Manufacture	Rubber Product
327110	Pottery, Ceramics, and Plumbing Fixture Manufacturing	Pottery	Manufacture	Pottery
327120	Clay Building Material and Refractories Manufacturing	ClayBuilding	Manufacture	Clay Building
327211	Flat Glass Manufacturing	FlatGlass	Manufacture	Flat Glass
327212	Other Pressed and Blown Glass and Glassware Manufacturing	PressedBlown	Manufacture	Pressed Blown
327213	Glass Container Manufacturing	GlassContainer	Manufacture	Glass Container
327215	Glass Product Manufacturing Made of Purchased Glass	GlassProduct	Manufacture	Glass Product
327310	Cement Manufacturing	Cement	Manufacture	Cement
327320	Ready-Mix Concrete Manufacturing	Ready-MixConcrete	Manufacture	Ready-Mix Concrete
327331	Concrete Block and Brick Manufacturing	ConcreteBlock	Manufacture	Concrete Block
327332	Concrete Pipe Manufacturing	ConcretePipe	Manufacture	Concrete Pipe
327390	Other Concrete Product Manufacturing	ConcreteProduct	Manufacture	Concrete Product
327410	Lime Manufacturing	Lime	Manufacture	Lime
327420	Gypsum Product Manufacturing	GypsumProduct	Manufacture	Gypsum Product
327910	Abrasive Product Manufacturing	AbrasiveProduct	Manufacture	Abrasive Product
327991	Cut Stone and Stone Product Manufacturing	CutStone	Manufacture	Cut Stone
327992	Ground or Treated Mineral and Earth Manufacturing	GroundTreated	Manufacture	Ground Treated
327993	Mineral Wool Manufacturing	MineralWool	Manufacture	Mineral Wool
327999	All Other Miscellaneous Nonmetallic Mineral Product Manufacturing	NonmetallicMineral	Manufacture	Nonmetallic Mineral
331110	Iron and Steel Mills and Ferroalloy Manufacturing	IronSteel	Smelt	Iron Steel
331210	Iron and Steel Pipe and Tube Manufacturing from Purchased Steel	IronSteel	Manufacture	Iron Steel
331221	Rolled Steel Shape Manufacturing	RolledSteel	Manufacture	Rolled Steel
331222	Steel Wire Drawing	SteelWire	Manufacture	Steel Wire
331313	Alumina Refining and Primary Aluminum Production	AluminaRefining	Refine	Alumina Refining
331314	Secondary Smelting and Alloying of Aluminum	SecondarySmelting	Refine	Secondary Smelting
331315	Aluminum Sheet, Plate, and Foil Manufacturing	AluminumSheet	Refine	Aluminum Sheet
